Idioms
a stone's throw (away/from)          very close (to)
as the crow flies                    in a straight line (used for measuring distance)
follow your nose                     go straight forward, without turning; do what you feel is right in a particular situation,
                                     although you are not certain
in the middle of nowhere             a long way from any town or city
lose your bearings                   become confused about where you are and where other things are
make a beeline for                   go towards someone or something in the quickest and most direct way
off the beaten track                 away from populated areas or areas popular with tourists
stop dead in your tracks             suddenly stop, for example because you are surprised
take a short cut to                  follow a path that is quicker and shorter than the usual way
take the scenic route                follow a longer path than the usual one because it is more attractive


